run,task,method,window,n_nodes,mean_novelty,h_spatial,h_fitness,breakthrough
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,62,10,0.04480670097544495,2.285975756555769,2.285990885225577,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,63,10,0.05195468037315627,2.2964561372794856,2.296459179033797,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,64,10,0.08266552891972681,2.2947042071962507,2.2947625187929854,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,65,10,0.06104141310988538,2.283737668812235,2.282844278310984,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,66,10,0.054361410749576844,2.2953090057964323,2.2952949382520336,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,67,10,0.07436223154655368,2.2983989265020455,2.2980135114692777,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,68,10,0.030710364508612826,2.2753238021186,2.2751536866036446,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,69,9,0.03756422557544973,2.183091933748389,2.183096210406107,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,70,10,0.06640413030785049,2.2741562328358107,2.273877657527269,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,71,10,0.0496633100436236,2.2925974593893947,2.292610011094998,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,72,10,0.07082154560109463,2.2585755084754933,2.2568176518147234,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,73,10,0.06905571670908259,2.26055940056751,2.260415433550907,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,74,8,0.03628091518085099,2.069710823908132,2.069710095456692,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,75,8,0.048832530853520906,2.067896023268492,2.0678611456461775,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,76,9,0.046968527083037656,2.194226254329726,2.1942134262369914,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,77,10,0.037193595147579056,2.280410940637374,2.2803962821323736,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,78,10,0.0656348776030658,2.2838151572684247,2.2838148765246893,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,79,10,0.04878266948139544,2.2984822607804474,2.298474339205386,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,80,10,0.0355265321793559,2.287748442490541,2.2877167859260865,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,81,10,0.045710100179800255,2.2791852057118858,2.279183204614877,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,82,9,0.044379834551062945,2.186695387470991,2.189433445353721,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,83,10,0.025722305559608305,2.2944332290523004,2.294468341386155,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,84,10,0.06372982986796917,2.2648896414765263,2.2649844181728374,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,85,10,0.04576560908366625,2.299767315472106,2.2988883048133104,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,86,10,0.036251134919815235,2.2865156413473176,2.286511653868116,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,87,9,0.045941577075557974,2.187372918963206,2.187378322900562,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,88,10,0.04735064093311507,2.2968875139680893,2.296886638204555,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,89,9,0.09054809037345556,2.1671990842976725,2.161659698484184,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,90,8,0.042155742586126255,2.0767881217817856,2.0767920883922475,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,91,10,0.04640595028505958,2.2848786517229387,2.284829281598027,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,92,10,0.04759965711382456,2.2868021378592496,2.286875530321025,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,93,10,0.02669995417974269,2.296751742705436,2.296734486647001,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,94,9,0.05154281493860557,2.17340789441626,2.173414341507517,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,95,10,0.05400236015748646,2.292451877039669,2.29248719067162,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,96,10,0.03925571574360107,2.2912017364153274,2.2913789659175903,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,97,9,0.049995105070511005,2.181343175149965,2.1800185611489047,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,98,10,0.04552983335684985,2.2977906676851885,2.297821973150571,1
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,99,10,0.03383569437951035,2.2952219942854506,2.2952275930439496,0
20260723_204526_cvrp_v4_rep2,cvrp_aco,version4,100,10,0.03961221372334326,2.2704468310503896,2.270118276976558,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,1,10,0.3768745727102164,2.2959187273696284,2.296150413579053,1
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,2,9,0.3105122853212354,2.1950598753093273,2.194731675614385,1
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,3,10,0.32110713169421556,2.299092611805175,2.299306220046582,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,4,9,0.10940945311965794,2.1945771807148473,2.1944625899028747,1
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,5,9,0.13770687968073286,2.182469134904422,2.174791264621865,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,6,9,0.1635542651630497,2.1818761301160907,2.171979943295231,1
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,7,10,0.11614467015312986,2.2974687165311276,2.291278388452509,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,8,10,0.08071560017338261,2.2986900436533624,2.2961969632662504,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,9,10,0.09282594511388825,2.2999508551983467,2.2995965995748353,1
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,10,9,0.11773515661960193,2.1778121510824406,2.1785011589960583,1
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,11,10,0.11666683104113458,2.30157245284851,2.301159442734409,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,12,10,0.0843450233113719,2.2915112967095874,2.2909211619382566,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,13,9,0.07623264972297321,2.193166608094039,2.1931244092417312,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,14,10,0.05646570357552907,2.2997305469700473,2.2997422814306443,1
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,15,10,0.05396152173188801,2.2962251776701117,2.2945988661073535,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,16,10,0.11338285801122468,2.295229539909893,2.295327349403797,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,17,7,0.04953500758415145,1.9445835849657227,1.944648527307266,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,18,9,0.0886544647440602,2.1919976206209997,2.1918693118079844,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,19,10,0.11366883722039985,2.290286857931223,2.287294537681833,0
20260723_204526_cvrp_v4_rep3,cvrp_aco,version4,20,9,0.06287508484379797,2.1742113469761684,2.162862801939253,0
