task,version,run,sample_order,prompt_sha256,logged_prompt_tokens_raw,recounted_raw_tokens,recounted_chat_tokens,component_current_program_tokens,component_history_tokens,component_instruction_tokens,component_operator_direction_tokens,component_reference_history_tokens,component_reference_program_tokens,component_target_signature_tokens,component_task_tokens
op,v9,v9_20260807_123753_v9_op_rep2,996,0be856a9456a594bdfad8c34f415bccb3f0682638c60f6310c5b1b457ebf6af0,3559,3559,3571,1664,874,122,33,26,518,162,160
op,v9,v9_20260807_123753_v9_op_rep1,947,a3b073a3158c1b1b0fe282231c9cafda6ad70a0ecefde2e651bf832957b9f859,4011,4011,4023,2132,1404,122,31,0,0,162,160
op,v9,v9_20260807_123753_v9_op_rep1,654,a56ce5b44c45e5224c16f57248f381e4fe125f1bc62c98b7ba652e726dcb6366,4349,4349,4361,1867,887,122,33,26,1092,162,160
op,v9,v9_20260807_123753_v9_op_rep1,471,145a77878ced891cca6c05dbc0f3f77849380cda345b48231b71901bd2b9143a,3961,3961,3973,1462,988,122,33,26,1008,162,160
op,v9,v9_20260807_123753_v9_op_rep1,426,b0b974520ad37b5a1ab306266816971c23ff2cb29873b0c725bd895904b2296f,2383,2383,2395,1079,826,122,34,0,0,162,160
op,v9,v9_20260807_123753_v9_op_rep3,612,853bcc860a202f7a1e37690068aa4d87b783e71060858ce51186174d951bf40e,4430,4430,4442,1608,1088,122,33,26,1231,162,160
op,v9,v9_20260807_123753_v9_op_rep2,526,db8f8c4e29357b917bc87093233dd42c6f177a213f8c772754dfb9f4bdeca832,4904,4904,4916,2696,1042,122,33,26,663,162,160
op,v9,v9_20260807_123753_v9_op_rep3,161,f9c7cb86f401d5dbc80a4b71a348c4d560053d3653270a7b4c72011cb5ec5488,4185,4185,4197,1377,1074,122,33,26,1231,162,160
op,v9,v9_20260807_123753_v9_op_rep3,349,5b3594102481b3329b60b47d1e05bc5b7798b4672f8e7075522ee343407b0c02,3125,3125,3137,1571,1076,122,34,0,0,162,160
op,v9,v9_20260807_123753_v9_op_rep2,802,431f4e9f7da069144de5da068e86bc0a94d9e06ab803f0ea30bc5fc4e7ce660f,3895,3895,3907,1697,968,122,33,26,727,162,160
op,v9,v9_20260807_123753_v9_op_rep2,316,8879d6441b7bb29e91886f3387240e11fe829b46c24f1e103e91176c718032d6,6325,6325,6337,3669,1269,122,33,26,884,162,160
op,v9,v9_20260807_123753_v9_op_rep2,27,945f3dbe770065b1fe842e3550b0bf0a93c5be3404fc90b616c4f0285a9ca49a,3065,3065,3077,858,708,122,33,26,996,162,160
op,v9,v9_20260807_123753_v9_op_rep1,721,1a3a3311beb3b6037fb7d1d14449944bb817e280420e628b55cd0b4b758b5313,2893,2893,2905,1561,857,122,31,0,0,162,160
op,v9,v9_20260807_123753_v9_op_rep2,487,ff6b0aba2b7b542991acc04eeb3fedc9b9b18becad2de7a3533bb36ae7b45cad,3753,3753,3765,1245,1403,122,33,26,602,162,160
op,v9,v9_20260807_123753_v9_op_rep3,650,f5fa4aeccf5d15ed92c47c3a6893efbf4fa0c83e05dd4ffd5da6b5a2ed39eb17,3140,3140,3152,1560,1105,122,31,0,0,162,160
op,v95,v9_5_20260811_171029_op_rep3,633,5ba69202aee8a8ace677c61c65a5276ef9efce8b6fa0c1725ef3b70093e59e12,4703,4703,4715,1293,3111,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep2,863,1c473fbc5f8c527de0b63289ec784564de420b547d9c6a4d2306aa8398a0309e,4841,4841,4853,1110,3432,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep2,493,caf6e52b8db663a023b5b2516d511485c2f7c23cddc9bd002e4df5fc2551e1db,5713,5713,5725,1795,3619,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep3,240,117db9f79ff10f1d488b685eb44bf2e79a941e4708153e1c58ba6a069d11dbd5,4564,4564,4576,1014,3251,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep2,182,64c12eb22bb4135df7489ab1d4d0a99d3a826d464f2fb6fdf0e9ce04bfedb68b,4518,4518,4530,1405,2814,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep1,264,cefa0f2d18106966bd46fb97ba41e40de97f976417e91b17bb902a658701ba6f,4565,4565,4577,937,3329,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep3,701,3c536e4050d7ab4f6f7413b5872f5e54d629b5bc3fcb4a44c1c6b2759915d550,4747,4747,4759,1209,3239,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep1,871,9657d9f25a8ed143dfc3812e54105660c229bb28e9a96781827a23ebfcbf23f9,5735,5735,5747,1987,3449,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep2,469,7b9fb5366444d2ff290b6aaed04627c659ab35b9166680ac855c709c2d13c951,5424,5424,5436,2194,2931,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep3,265,d12368dab0b2352e900c679cc36fac4643970ac067dc8d51ca17d9974f98c12a,4969,4969,4981,1145,3525,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep1,279,ff70c66a73ff6230199e7c8c2270cfcf272b7c17b56a36d4be83ef1fd2dc56c0,5259,5259,5271,1388,3572,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep1,181,8a2d3a84ed312ab49e827bc30b0d14d82e0cc528eb6580a9624e49b8fcd3ec16,4886,4886,4898,1209,3378,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep1,465,c6d3e572d374869046b67448e6a90a4ea85c1abbfa693cfe4111634620972f14,4988,4988,5000,1066,3623,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep1,910,8b4f3fe6a9d3e35e593551d3fc9e8689941ac61fc4689216b7577b0b957aac10,4754,4754,4766,1191,3264,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep2,419,8a09feb80d7fb74d1dffed5e50aa92b4be74807f1140ce95b92b2310d653743c,4844,4844,4856,1657,2888,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep3,153,460566bc68857e5ec4bd7da72145be0c781c4d3cb91c8e24e50e29549aafcf15,4768,4768,4780,1095,3374,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep2,773,ba646ce1b294df6a6c128a1d7a30e4b436980891f6c56b6f19b5e47f03dd381d,5285,5285,5297,1845,3141,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep3,237,054a7a5d7e051e52b74f674fcb8075eca3290b3b49ee8b5610e3d48d6d3e65a8,4850,4850,4862,1095,3456,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep3,858,16c396c31369743066b3ddaa141f9238e2d514c0ad98e1a6ca02b90aa669a0d8,5007,5007,5019,1282,3426,139,0,0,0,0,160
op,v95,v9_5_20260811_171029_op_rep2,545,fd93252467f4384eca6e6445119a99195082237fc3e32ba26302a270053b24cd,4809,4809,4821,1344,3166,139,0,0,0,0,160
